,CID,Description
3139,576549,2-(2-phenoxyethylsulfonyl)-1H-benzimidazole is a sulfoxide and a member of benzimidazoles.
3140,3446,"Gabapentin is a gamma-amino acid that is cyclohexane substituted at position 1 by aminomethyl and carboxymethyl groups. Used for treatment of neuropathic pain and restless legs syndrome. It has a role as an anticonvulsant, a calcium channel blocker, an environmental contaminant and a xenobiotic. It is functionally related to a gamma-aminobutyric acid."
3141,2603,"CCCP is a member of the class of monochlorobenzenes that is benzene substituted by 2-(1,3-dinitrilopropan-2-ylidene)hydrazinyl and chloro groups at positions 1 and 3, respectively. It is a mitochondrial depolarizing agent that induces reactive oxygen species mediated cell death. It has a role as a geroprotector, an antibacterial agent and an ionophore. It is a nitrile, a hydrazone and a member of monochlorobenzenes. It is functionally related to a hydrazonomalononitrile."
3142,37463,4-methylhistamine is an aralkylamino compound that is histamine bearing a methyl substituent at the 5 position on the ring. It has a role as a metabolite and a histamine agonist. It is a member of imidazoles and an aralkylamino compound. It is functionally related to a histamine.
3143,9956637,"N-(cyclopropylmethoxy)-3,4,5-trifluoro-2-(4-iodo-2-methylanilino)benzamide is an aminobenzoic acid."
3144,3081361,"Vandetanib is a quinazoline that is 7-[(1-methylpiperidin-4-yl)methoxy]quinazoline bearing additional methoxy and 4-bromo-2-fluorophenylamino substituents at positions 6 and 4 respectively. Used for the treatment of symptomatic or progressive medullary thyroid cancer in patients with unresectable locally advanced or metastatic disease. It has a role as a tyrosine kinase inhibitor and an antineoplastic agent. It is an aromatic ether, a secondary amine, a member of quinazolines, a member of piperidines, an organobromine compound and an organofluorine compound."
3145,973891,"2-(4-methylanilino)-4-pyrido[3,2-e][1,3]thiazinone is a substituted aniline."
3146,21109,"1-[(2,3,4-trimethoxyphenyl)methyl]piperazine is an aromatic amine."
3147,981129,"2,2,3,3-tetramethyl-N-[4-[4-[[oxo-(2,2,3,3-tetramethylcyclopropyl)methyl]amino]phenyl]sulfonylphenyl]-1-cyclopropanecarboxamide is an anilide."
3148,2284632,"8-[2-(4-chloro-2,5-dimethylphenoxy)ethoxy]quinoline is a member of quinolines."
3149,2753,N-cyclohexyl-N-methyl-4-[(2-oxo-1H-quinolin-6-yl)oxy]butanamide is a member of quinolines.
3150,6223069,Keioside is a member of flavonoids and a glycoside.
3151,2351,"Bepridil is a tertiary amine in which the substituents on nitrogen are benzyl, phenyl and 3-(2-methylpropoxy)-2-(pyrrolidin-1-yl)propyl. It has a role as a vasodilator agent, an anti-arrhythmia drug, an antihypertensive agent and a calcium channel blocker. It is a tertiary amine and a member of pyrrolidines."
3152,408,1-Methyl-5-(3-pyridinyl)-2-pyrrolidinone is a member of pyrrolidines and a member of pyridines.
3153,11092,Paeonol is a member of phenols and a member of methoxybenzenes. It has a role as a metabolite.
3154,243265,"2,2'-biphenyldimethanol is a member of biphenyls."
3155,4849,Piretanide is an aromatic ether.
3156,4068248,"Ferrostatin-1 is an ethyl ester resulting from the formal condensation of the carboxy group of 3-amino-4-(cyclohexylamino)benzoic acid with ethanol. It is a potent inhibitor of ferroptosis, a distinct non-apoptotic form of cell death caused by lipid peroxidation. It is also a radical-trapping antioxidant and has the ability to reduce the accumulation of lipid peroxides and chain-carrying peroxyl radicals. It has a role as a ferroptosis inhibitor, a radiation protective agent, an antioxidant, a radical scavenger, an antifungal agent and a neuroprotective agent. It is a substituted aniline, an ethyl ester and a primary arylamine."
3157,10427712,"3-[2,4-diamino-7-(3-hydroxyphenyl)-6-pteridinyl]phenol is a member of pteridines."
3158,72801489,DMAPT is a germacranolide.
3159,8798,Aminitrozole is an aromatic amide and a member of acetamides.
3160,779,Homoserine is an alpha-amino acid that is glycine substituted at the alpha-position by a 2-hydroxyethyl group. It has a role as a metabolite. It is a conjugate acid of a homoserinate.
3161,44464263,N-[3-[[5-cyclopropyl-2-[3-(4-morpholinylmethyl)anilino]-4-pyrimidinyl]amino]propyl]cyclobutanecarboxamide is an aromatic amine.
3162,2557019,"N-(2,3-dihydro-1H-inden-5-yl)-2-[(4-oxo-3-phenyl-2-quinazolinyl)thio]acetamide is a member of quinazolines."
3163,5270,9-(tetrahydrofuryl)adenine is a nucleoside analogue that is adenine in which the nitrogen at position 9 has been substituted by a tetrahydrofuran-2-yl group. It is an adenylate cyclase inhibitor. It has a role as an EC 4.6.1.1 (adenylate cyclase) inhibitor. It is a nucleoside analogue and a member of oxolanes. It is functionally related to an adenine.
3164,744542,"3-[(4,8-dimethyl-2-quinolinyl)thio]propanoic acid is a member of quinolines."
3165,8215,"Docosanoic acid is a straight-chain, C22, long-chain saturated fatty acid. It has a role as a plant metabolite. It is a straight-chain saturated fatty acid and a long-chain fatty acid. It is a conjugate acid of a behenate."
3166,15980598,CZC8004 is an aminopyrimidine and an organofluorine compound. It has a role as a protein kinase inhibitor.
3167,3148,"Dolasetron is a member of quinolizines, a member of indoles and a heteroarenecarboxylate ester."
3168,24964624,"MK-2206 is an organic heterotricyclic compound that is [1,2,4]triazolo[3,4-f][1,6]naphthyridin-3(2H)-one substituted at positions 8 and 9 respectively by 4-(1-aminocyclobutyl)phenyl and phenyl groups. It has a role as an EC 2.7.1.137 (phosphatidylinositol 3-kinase) inhibitor. It is functionally related to a 1,6-naphthyridine."
3169,5078,"Rizatriptan is a member of tryptamines. It has a role as a serotonergic agonist, a vasoconstrictor agent and an anti-inflammatory drug. It is functionally related to a N,N-dimethyltryptamine."
3170,71268957,"GSK343 is a member of the class of indazoles that is 1-isopropyl-1H-indazole-4-carboxamide in which the nitrogen of the carboxamide group is substituted by a (6-methyl-2-oxo-4-propyl-1,2-dihydropyridin-3-yl)methyl group and in which the indazole ring is substituted at position 6 by a 2-(4-methylpiperazin-1-yl)pyridin-4-yl group. A highly potent and selective EZH2 inhibitor (IC50 = 4 nM). It has a role as an EC 2.1.1.43 (enhancer of zeste homolog 2) inhibitor, an apoptosis inducer and an antineoplastic agent. It is a N-alkylpiperazine, a secondary carboxamide, an aminopyridine, a pyridone, a N-arylpiperazine and a member of indazoles."
3171,5731,"2-Oxazolidinone, 4-[[3-[2-(dimethylamino)ethyl]-1H-indol-5-yl]methyl]- is a member of tryptamines."
3172,68077,"Tangeretin is a pentamethoxyflavone flavone with methoxy groups at positions 4', 5, 6 , 7 and 8. It has a role as an antineoplastic agent and a plant metabolite."
3173,71916,Alibendol is a member of salicylamides.
3174,4534086,Carbamimidothioic acid 2-[4-[(4-nitrophenyl)methoxy]phenyl]ethyl ester is a C-nitro compound.
3175,65702,Trofosfamide is a member of ifosfamides.
3176,2998807,"2-(1,3-diphenyl-4-pyrazolyl)-3-(2-furanylmethyl)-4-thiazolidinone is a member of pyrazoles and a ring assembly."
3177,4097103,"5-carboxy-X-rhodamine is an X-rhodamine compound having a carboxy substituent at the 5-position. It has a role as a fluorochrome. It derives from a hydride of a 2,3,6,7,12,13,16,17-octahydropyrido[3,2,1-ij]quinolizino[1',9':6,7,8]chromeno[2,3-f]quinolin-18-ium."
3178,5357,Sultopride is a member of salicylamides.
3179,5390049,"7-hydroxy-6-(4-morpholinylmethyl)-2,3-dihydro-1H-cyclopenta[c][1]benzopyran-4-one is a member of coumarins."
3180,8998,"Butane-1,2,3,4-tetrol is a tetritol that is butane substituted by hydroxy groups at positions 1, 2, 3 and 4."
3181,2063,Tyrphostin 1 is a member of methoxybenzenes. It has a role as a geroprotector.
3182,38072,Cridanimod is a member of acridines. It is functionally related to an acridone.
3183,646753,"2-methyl-5-phenyl-3,5-dihydropyrazolo[1,5-c]quinazoline is a member of quinazolines."
3184,180933,"Chrysene-1,4-dione is a member of phenanthrenes."
3185,10110,"Propynoic acid is a terminal acetylenic compound that is a 3-carbon, straight-chain, monounsaturated fatty acid having one acetylenic bond. It has a role as a xenobiotic metabolite. It is an acetylenic fatty acid, a monounsaturated fatty acid, a short-chain fatty acid, a terminal acetylenic compound and an alpha,beta-unsaturated monocarboxylic acid. It is a conjugate acid of a propynoate."
3186,5803,"Tiratricol is a monocarboxylic acid that is (4-hydroxy-3,5-diiodophenyl)acetic acid in which the phenolic hydroxy group has been replaced by a 4-hydroxy-3-iodophenoxy group. It is a thyroid hormone analogue that has been used in the treatment of thyroid hormone resistance syndrome. It has a role as a thyroid hormone, an antiviral agent, an EC 1.3.5.2 [dihydroorotate dehydrogenase (quinone)] inhibitor, a nutraceutical, a human metabolite and an anti-obesity agent. It is an aromatic ether, a monocarboxylic acid, an organoiodine compound and a member of phenols."
3187,50515,"5-amino-2-[2-(dimethylamino)ethyl]benzo[de]isoquinoline-1,3-dione is a member of isoquinolines."
3188,99463,N-hexanoylglycine is an N-acylglycine in which the acyl group is specified as hexanoyl. It has a role as a metabolite. It is a conjugate acid of a N-hexanoylglycinate.
3189,104972,"2-(3,4-dimethoxyphenyl)-5-{[2-(3,4-dimethoxyphenyl)ethyl]amino}-2-(propan-2-yl)pentanenitrile is a secondary amino compound that is 3,4-dimethoxyphenylethylamine in which one of the hydrogens attached to the nitrogen has been replaced by a 4-cyano-4-(3,4-dimethoxyphenyl)-5-methylhexyl group. It is an aromatic ether, a nitrile, a polyether and a secondary amino compound."
3190,5648,Valethamate is an alkylbenzene.
3191,5509,"Tolmetin is a monocarboxylic acid that is (1-methylpyrrol-2-yl)acetic acid substituted at position 5 on the pyrrole ring by a 4-methylbenzoyl group. Used in the form of its sodium salt dihydrate as a nonselective nonsteroidal anti-inflammatory drug. It has a role as a non-steroidal anti-inflammatory drug and an EC 1.14.99.1 (prostaglandin-endoperoxide synthase) inhibitor. It is a member of pyrroles, a monocarboxylic acid and an aromatic ketone. It is a conjugate acid of a tolmetin(1-)."
3192,3545,5-(1-piperazinylsulfonyl)isoquinoline is a member of isoquinolines.
3193,130881,Olmesartan medoxomil is a member of biphenyls.
3194,3272524,"2,3-Dioxo-6-nitro-7-sulfamoylbenzo(f)quinoxaline is a member of naphthalenes and a sulfonic acid derivative."
3195,11644425,"N3-(4-fluorophenyl)-2H-pyrazolo[3,4-d]pyrimidine-3,4-diamine is a pyrazolopyrimidine."
3196,16118392,Golvatinib is an aromatic ether.
3197,75653,"2,4-dihydroxy-6-methylbenzoic acid ethyl ester is a 4-hydroxybenzoate ester."
3198,66085,8-aminooctanoic acid is an omega-amino fatty acid that is octanoic acid which carries an amino group at position 8. It has a role as a human metabolite. It is a medium-chain fatty acid and an omega-amino fatty acid.
3199,5541,"Triacetin is a triglyceride obtained by acetylation of the three hydroxy groups of glycerol. It has fungistatic properties (based on release of acetic acid) and has been used in the topical treatment of minor dermatophyte infections. It has a role as a plant metabolite, a solvent, a fuel additive, an adjuvant, a food additive carrier, a food emulsifier, a food humectant and an antifungal drug. It is functionally related to an acetic acid."
3200,3035714,N-[2-(4-hydroxyanilino)-3-pyridinyl]-4-methoxybenzenesulfonamide is a sulfonamide.
3201,3221,Emorfazone is an organic molecular entity.
3202,5002,"Quetiapine is a dibenzothiazepine, a N-alkylpiperazine and a N-arylpiperazine. It has a role as a serotonergic antagonist, a dopaminergic antagonist, a histamine antagonist, an adrenergic antagonist and a second generation antipsychotic."
3203,3903,2-[[2-[[2-[[2-[[2-amino-3-(4-hydroxyphenyl)-1-oxopropyl]amino]-1-oxoethyl]amino]-1-oxoethyl]amino]-1-oxo-3-phenylpropyl]amino]-4-methylpentanoic acid is a peptide.
3204,2082451,"1-[(2-chlorophenyl)methyl]-3-methyl-N-(4-methyl-2-thiazolyl)-5-thieno[2,3-c]pyrazolecarboxamide is a member of thiophenes and an aromatic amide."
3205,1001529,N-(1-ethyl-2-benzimidazolyl)-5-[(4-methyl-2-nitrophenoxy)methyl]-2-furancarboxamide is an aromatic ether and a C-nitro compound.
3206,72661,Nicotinamide N-oxide is a member of pyridines.
3207,253078,"4-(2,4,5-tripyridin-4-yl-3-thiophenyl)pyridine is a member of pyridines."
3208,44591583,"Crisaborole is a member of the class of benzoxaboroles that is 5-hydroxy-1,3-dihydro-2,1-benzoxaborole in which the phenolic hydrogen has been replaced by a 4-cyanophenyl group. A phosphodiesterase 4 inhibitor that is used for treatment of mild to moderate atopic dermatitis in children and adults. It has a role as a phosphodiesterase IV inhibitor, an antipsoriatic and a non-steroidal anti-inflammatory drug. It is a benzoxaborole, an aromatic ether and a nitrile."
3209,176408,LSM-3822 is a member of triazolopyrimidines.
3210,45359348,5-Hydroxy-7-(hydroxymethyl)-2-methyl-2-(5-oxooxolan-2-yl)-3H-chromen-4-one is a member of chromones.
3211,739004,N-[[(5-chloro-2-pyridinyl)amino]-sulfanylidenemethyl]-2-thiophenecarboxamide is a member of thiophenes and an aromatic amide.
3212,68144,"Phenylacetylglycine is a N-acylglycine that is glycine substituted on nitrogen with a phenylacetyl group. It has a role as a mouse metabolite and a human metabolite. It is a monocarboxylic acid amide, a monocarboxylic acid and a N-acylglycine. It is a conjugate acid of a phenylacetylglycine(1-)."
3213,2850171,"N-(2-methoxycyclohexyl)-2,5-dimethylaniline is an alkylbenzene."
3214,5312114,N-[[4-[[(4-amino-2-quinazolinyl)amino]methyl]cyclohexyl]methyl]-1-naphthalenesulfonamide is a sulfonic acid derivative and a member of naphthalenes.
3215,2366,"Betahistine is an aminoalkylpyridine that is pyridine substituted by a 2-(methylamino)ethyl group at position 2. It acts as a histamine agonist and a vasodilator, and is thought to improve the microcirculation of the labyrinth, resulting in reduced endolymphatic pressure. It is used (generally as the hydrochloride or mesylate salt) to reduce the symptoms of vertigo, tinnitus, and hearing loss associated with Meniere's disease. It has a role as a vasodilator agent and a H1-receptor agonist. It is an aminoalkylpyridine and a secondary amino compound."
3216,2123,"Hexamethylmelamine is a triamino-1,3,5-triazine."
3217,33919,Ensulizole is a member of benzimidazoles.
3218,6726,"Cyclizine is an N-alkylpiperazine in which one nitrogen of the piperazine ring is substituted by a methyl group, while the other is substituted by a diphenylmethyl group. It has a role as an antiemetic, a cholinergic antagonist, a central nervous system depressant, a local anaesthetic and a H1-receptor antagonist."
3219,771910,"1-(2,4-dichlorobenzoyl)-1H-1,2,3-benzotriazole is a member of the class of benzamides that is obtained by the formal condensation of 2,4-dichlorobenzoic acid and benzotriazole. It acts as an inhibitor for tubulin acetylation mediated by trichostatin A. It has a role as an inhibitor. It is a member of benzotriazoles, a member of benzamides and a dichlorobenzene. It is functionally related to a 2,4-dichlorobenzoic acid and a benzotriazole."
3220,134780,"Pomalidomide is an aromatic amine that is thalidomide substituted at position 4 on the isoindole ring system by an amino group. Used for the treatment of multiple myeloma in patients who failed to respond to previous therapies. It has a role as an antineoplastic agent, an immunomodulator and an angiogenesis inhibitor. It is a dicarboximide, a member of isoindoles, a member of piperidones and an aromatic amine. It is functionally related to a thalidomide."
3221,3114,"Disopyramide is a monocarboxylic acid amide that is butanamide substituted by a diisopropylamino group at position 4, a phenyl group at position 2 and a pyridin-2-yl group at position 2. It is used as a anti-arrhythmia drug. It has a role as an anti-arrhythmia drug. It is a monocarboxylic acid amide, a member of pyridines and a tertiary amino compound."
3222,10687292,"2-[3,5-dihydroxy-2-(1-oxooctyl)phenyl]acetic acid ethyl ester is an aromatic ketone."
3223,2226108,4-[[4-(4-methoxyphenyl)-2-thiazolyl]amino]benzenesulfonamide is a sulfonamide.
3224,1357514,N-[2-(2-benzoyl-4-bromoanilino)-2-oxoethyl]-2-chlorobenzamide is a member of benzophenones.
3225,222515,"7,11b-dihydro-6H-indeno[2,1-c][1]benzopyran-3,6a,9,10-tetrol is a 1-benzopyran."
3226,3750,LSM-4269 is a pyranoindolizinoquinoline.
3227,4608,"3,3-dimethyl-6-[[(5-methyl-3-phenyl-4-isoxazolyl)-oxomethyl]amino]-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid is a penicillin."
3228,7046,"1,2,3,4-tetrahydroisoquinoline is a member of isoquinolines."
3229,73670,"Clofentezine is a tetrazine that is 1,2,4,5-tetrazine in which both of the hydrogens have been replaced by o-chlorophenyl groups. It has a role as a mite growth regulator and a tetrazine acaricide. It is an organochlorine acaricide, a member of monochlorobenzenes and a tetrazine. It derives from a hydride of a 1,2,4,5-tetrazine."
3230,32594,"Pyrazine, 2-methoxy-3-(2-methylpropyl)- is a member of pyrazines and an aromatic ether."
3231,3737,Iotalamic acid is an organic molecular entity.
3232,2827646,"Sirtinol is a benzamide obtained by formal condensation of the carboxy group of 2-{[(2-hydroxy-1-naphthyl)methylene]amino}benzoic acid with the amino group of 1-phenylethylamine. It has a role as an anti-inflammatory agent, an EC 3.5.1.98 (histone deacetylase) inhibitor and a Sir2 inhibitor. It is a member of benzamides, an aldimine and a member of naphthols. It is functionally related to an anthranilic acid."
3233,589075,"CK-666 is a member of the class of indoles that is 2-methyltryptamine in which a hydrogen attached to the primary amino group has been replaced by a 2-fluorobenzoyl group. It is a cell-permeable inhibitor of actin assembly mediated by actin-related protein Arp2/3 complex which works by binding to Arp2/3 complex, stabilising the inactive state of the complex and preventing its movement into the active conformation. It has a role as an actin polymerisation inhibitor. It is a member of indoles, an organofluorine compound and a member of benzamides."
3234,73707445,"3-O-[2-[benzyl(methyl)amino]ethyl] 5-O-methyl 2,6-dimethyl-4-(3-nitrophenyl)-3,4-dihydropyridine-3,5-dicarboxylate is a dihydropyridine."
3235,3038522,"Tandutinib is an N-arylpiperazine that is piperazine in which the hydrogen attached to the nitrogen at position 1 is replaced by a 6-methoxy-7-[3-(piperidin-1-yl)propoxy]quinazolin-4-yl group, while the hydrogen attached to the nitrogen at position 4 is replaced by a (p-isopropoxyphenyl)aminocarbonyl group. Tandutinib is an inhibitor of tyrosine kinases FLT3, PDGFR and KIT. It has a role as an antineoplastic agent and an EC 2.7.10.1 (receptor protein-tyrosine kinase) inhibitor. It is a N-carbamoylpiperazine, a N-arylpiperazine, a member of quinazolines, a member of piperidines, an aromatic ether, a tertiary amino compound and a member of phenylureas."
3236,934512,"N2-(4-fluorophenyl)-6-(3-methyl-2-benzofuranyl)-1,3,5-triazine-2,4-diamine is a member of benzofurans."
3237,3728,"Iodoquinol is a monohydroxyquinoline that is quinolin-8-ol in which the hydrogens at positions 5 and 7 are replaced by iodine. It is considered the drug of choice for treating asymptomatic or moderate forms of amoebiasis. It has a role as an antiamoebic agent, an antibacterial agent, an antiseptic drug and an antiprotozoal drug. It is a monohydroxyquinoline and an organoiodine compound."
3238,19289050,7-(diethylamino)-N-[(4-fluorophenyl)methyl]-2-imino-1-benzopyran-3-carboxamide is a 1-benzopyran.
3239,7424,"3,5-dihydroxybenzoic acid is a dihydroxybenzoic acid in which the hydroxy groups are located at positions 3 and 5. It has a role as a metabolite. It is a dihydroxybenzoic acid and a member of resorcinols. It is functionally related to a benzoic acid."
3240,3262,"Benzoic acid (17-hydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-yl) ester is a steroid. It derives from a hydride of an estrane."
3241,9934347,2-[[5-chloro-2-[2-methoxy-4-(4-morpholinyl)anilino]-4-pyrimidinyl]amino]-N-methylbenzamide is a member of morpholines.
3242,4858,"PJ34 is a member of the class of phenanthridines that is 5,6-dihydrophenanthridine substituted at positions 2 and 6 by (N,N-dimethylglycyl)amino and oxo groups, respectively. It is a potent inhibitor of poly(ADP-ribose) polymerases PARP1 and PARP2 (IC50 of 110 nM and 86 nM, respectively) and exhibits anti-cancer, cardioprotective and neuroprotective properties. It has a role as an EC 2.4.2.30 (NAD(+) ADP-ribosyltransferase) inhibitor, an antineoplastic agent, an apoptosis inducer, an angiogenesis inhibitor, an antiatherosclerotic agent, a cardioprotective agent, an anti-inflammatory agent and a neuroprotective agent. It is a member of phenanthridines, a secondary carboxamide and a tertiary amino compound. It is a conjugate base of a PJ34(1+)."
3243,3689,4-[1-hydroxy-2-[4-(phenylmethyl)-1-piperidinyl]propyl]phenol is a member of piperidines.
3244,1145,"Trimethylamine N-oxide is a tertiary amine oxide resulting from the oxidation of the amino group of trimethylamine. It has a role as an osmolyte, a metabolite and an Escherichia coli metabolite. It is functionally related to a trimethylamine. It is a conjugate base of a hydroxytrimethylaminium."
3245,3148028,2-(4-chlorophenoxy)-N-(5-nitro-2-thiazolyl)acetamide is a C-nitro compound and a member of thiazoles.
3246,78357808,"HG-9-91-01 is a member of the class of phenylureas that is a potent inhibitor of salt-inducible kinase 2, a potential target protein for therapy in ovarian cancer. It has a role as an antineoplastic agent and a salt-inducible kinase 2 inhibitor. It is a dimethoxybenzene, an aminopyrimidine, a N-arylpiperazine, a N-alkylpiperazine, a secondary amino compound and a member of phenylureas."
3247,6050,"Tributyrin is a triglyceride obtained by formal acylation of the three hydroxy groups of glycerol by butyric acid. It has a role as an EC 3.5.1.98 (histone deacetylase) inhibitor, a protective agent, an apoptosis inducer, a prodrug and an antineoplastic agent. It is a triglyceride and a butyrate ester. It is functionally related to a butyric acid."
3248,91731,"Fluazinam is a member of the class of aminopyridines that is 2-amino-5-(trifluoromethyl)pyridine in which one of the amino hydrogens is replaced by a 3-chloro-2,6-dinitro-4-(trifluoromethyl)phenyl group. A fungicide used to control grey mould, downy mildew and other fungal pathogens. It has a role as an apoptosis inducer, an allergen, a xenobiotic, an environmental contaminant and an antifungal agrochemical. It is a C-nitro compound, a chloropyridine, an aminopyridine, a secondary amino compound, a member of monochlorobenzenes and a member of (trifluoromethyl)benzenes."
3249,4574540,"2-[[2-[[(3,5-dimethylphenyl)-oxomethyl]-methylamino]-1-oxo-3-(4-phenylphenyl)propyl]amino]-3-(1H-indol-3-yl)propanoic acid is a phenylalanine derivative."
3250,137994,"4-hydroxy-TEMPO is a member of the class of aminoxyls that is TEMPO carrying a hydroxy substituent at position 4. It is a radical scavenger which exhibits anti-inflammatory and analgesic properties. It has a role as a radical scavenger, a catalyst, a nephroprotective agent, an anti-inflammatory agent, a neuroprotective agent, a hepatoprotective agent, an antineoplastic agent and an apoptosis inducer. It is a member of aminoxyls and a hydroxypiperidine. It is functionally related to a TEMPO."
3251,720004,"N-(5-ethyl-1,3,4-thiadiazol-2-yl)-3-methoxybenzamide is a member of benzamides."
3252,4425,"4a,9-dihydroxy-3-prop-2-enyl-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7-one is a member of phenanthrenes."
3253,3144344,"N-(2,5-dimethoxyphenyl)-4-(2,4-dimethyl-5-thiazolyl)-2-thiazolamine is a dimethoxybenzene."
3254,3034683,"5-ethenyl-1,3-oxazolidine-2-thione is a member of the class of oxazolidines that is 1,3-oxazolidine substituted by sulfanylidene and ethenyl groups at positions 2 and 5, respectively. It is a member of oxazolidines and an olefinic compound."
3255,447077,"PD173955 is a dichlorobenzene, a methyl sulfide, a pyridopyrimidine and an aryl sulfide. It has a role as a tyrosine kinase inhibitor."
3256,54676537,"Acenocoumarol is a hydroxycoumarin that is warfarin in which the hydrogen at position 4 of the phenyl substituent is replaced by a nitro group. It has a role as an anticoagulant and an EC 1.6.5.2 [NAD(P)H dehydrogenase (quinone)] inhibitor. It is a C-nitro compound, a hydroxycoumarin and a methyl ketone."
3257,5328,"Sulfamethizole is a sulfonamide consisting of a 1,3,4-thiadiazole nucleus with a methyl substituent at C-5 and a 4-aminobenzenesulfonamido group at C-2. It has a role as an antimicrobial agent, an EC 2.5.1.15 (dihydropteroate synthase) inhibitor, an antiinfective agent and a drug allergen. It is a sulfonamide, a member of thiadiazoles and a sulfonamide antibiotic."
3258,4173,"Metronidazole is a member of the class of imidazoles substituted at C-1, -2 and -5 with 2-hydroxyethyl, nitro and methyl groups respectively. It has activity against anaerobic bacteria and protozoa, and has a radiosensitising effect on hypoxic tumour cells. It may be given by mouth in tablets, or as the benzoate in an oral suspension. The hydrochloride salt can be used in intravenous infusions. Metronidazole is a prodrug and is selective for anaerobic bacteria due to their ability to intracellularly reduce the nitro group of metronidazole to give nitroso-containing intermediates. These can covalently bind to DNA, disrupting its helical structure, inducing DNA strand breaks and inhibiting bacterial nucleic acid synthesis, ultimately resulting in bacterial cell death. It has a role as an antitrichomonal drug, a prodrug, an antibacterial drug, an antimicrobial agent, an antiparasitic agent, a xenobiotic, an environmental contaminant, a radiosensitizing agent and an antiamoebic agent. It is a member of imidazoles, a C-nitro compound and a primary alcohol. It is a conjugate base of a metronidazole(1+)."
3259,3882765,N-(4-fluorophenyl)-5-methyl-1H-indole-2-carboxamide is an aromatic amide.
3260,10077147,N-[3-[[5-iodo-4-[3-[[oxo(thiophen-2-yl)methyl]amino]propylamino]-2-pyrimidinyl]amino]phenyl]-1-pyrrolidinecarboxamide is a member of ureas.
3261,2746,"Tacedinaline is a benzamide obtained by formal condensation of the carboxy group of 4-acetamidobenzoic acid with one of the amino groups of 1,2-phenylenediamine. An oral cytostatic drug with impressive differential activity against leukemic cells and normal stem-cells. Also used in combination therapy for selected tumors including non-smoll cell lung, pancreatic, breast, and colorectal cancers. It has a role as an EC 3.5.1.98 (histone deacetylase) inhibitor and an antineoplastic agent. It is a member of acetamides, a member of benzamides and a substituted aniline. It is functionally related to a 1,2-phenylenediamine."
3262,100334,Coumarin 6 is a member of 7-aminocoumarins. It has a role as a fluorochrome.
3263,2813072,2-morpholinophenyl 2-[(4-chlorophenyl)sulfanyl]nicotinate is a member of morpholines.
3264,5281616,"Galangin is a 7-hydroxyflavonol with additional hydroxy groups at positions 3 and 5 respectively; a growth inhibitor of breast tumor cells. It has a role as an antimicrobial agent, an EC 3.1.1.3 (triacylglycerol lipase) inhibitor and a plant metabolite. It is a trihydroxyflavone and a 7-hydroxyflavonol."
3265,5401,"Terazosin is a member of quinazolines, a member of piperazines, a member of furans and a primary amino compound. It has a role as an antineoplastic agent, an antihypertensive agent and an alpha-adrenergic antagonist."
3266,10205,"Plumbagin is a hydroxy-1,4-naphthoquinone that is 1,4-naphthoquinone in which the hydrogens at positions 2 and 5 are substituted by methyl and hydroxy groups, respectively. It has a role as a metabolite, an immunological adjuvant, an anticoagulant and an antineoplastic agent. It is a member of phenols and a hydroxy-1,4-naphthoquinone."
3267,2999715,"6-methyl-2-[[2-(4-morpholinyl)-1-oxoethyl]amino]-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxylic acid methyl ester is an amino acid amide."
3268,8612,"Chloroprocaine is procaine in which one of the hydrogens ortho- to the carboxylic acid group is substituted by chlorine. It is used as its monohydrochloride salt as a local anaesthetic, particularly for oral surgery. It has the advantage over lidocaine of constricting blood vessels, so reducing bleeding. It has a role as a local anaesthetic, a peripheral nervous system drug and a central nervous system depressant. It is a benzoate ester and a member of monochlorobenzenes. It is functionally related to a 2-diethylaminoethanol and a 4-amino-2-chlorobenzoic acid."
3269,135516428,"2-amino-9-[3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-7-prop-2-enyl-3H-purine-6,8-dione is a purine nucleoside."
3270,2040,Afloqualone is an organic molecular entity.
3271,21632,U 0521 is a member of acetophenones.
3272,2762,"Cinoxacin is a member of the class of cinnolines that is 6,7-methylenedioxycinnolin-4(1H)-one bearing an ethyl group at position 1 and a carboxylic acid group at position 3. An analogue of oxolinic acid, it has similar antibacterial actions. It was formerly used for the treatment of urinary tract infections. It has a role as an antibacterial drug and an antiinfective agent. It is a member of cinnolines, an oxo carboxylic acid and an oxacycle."
3273,661296,5-bromo-3-ethyl-1H-indole-2-carboxylic acid is an indolyl carboxylic acid.
3274,315017,1-(benzenesulfonyl)indole is a sulfonamide.
3275,6618,"3,3',5,5'-tetrabromobisphenol A is a bromobisphenol that is 4,4'-methanediyldiphenol in which the methylene hydrogens are replaced by two methyl groups and the phenyl rings are substituted by bromo groups at positions 2, 2', 6 and 6'. It is a brominated flame retardant. It is a brominated flame retardant and a bromobisphenol. It is functionally related to a bisphenol A."
