Unnamed: 0,CID,Description,Dominant_topic,Perc_Contrib,Topic_Keywords,Text
2950,977187,"1-phenyl-2-([1,2,4]triazolo[4,3-a]pyridin-3-ylthio)ethanone is an aromatic ketone.",No annotation,0.9161,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['phenyl', 'triazolo', 'pyridin', 'ylthio', 'ethanon', 'aromat', 'keton']"
2951,20083,Octan-2-ol is an octanol carrying the hydroxy group at position 2. It has a role as a volatile oil component and a plant metabolite. It is an octanol and a secondary alcohol.,Metabolite,0.869,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['octan', 'ol', 'octanol', 'carri', 'hydroxi', 'group', 'posit', 'role', 'volatil', 'oil', 'compon', 'plant', 'metabolit', 'octanol', 'secondari', 'alcohol']"
2952,5320,"Sulfacetamide is a sulfonamide that is sulfanilamide acylated on the sulfonamide nitrogen. It has a role as an antimicrobial agent, an antiinfective agent, an EC 2.5.1.15 (dihydropteroate synthase) inhibitor and an antibacterial drug. It is a substituted aniline and a N-sulfonylcarboxamide. It is functionally related to a sulfanilamide. It is a conjugate acid of a sulfacetamide(1-).",Drug,0.8791,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['sulfacetamid', 'sulfonamid', 'sulfanilamid', 'acyl', 'sulfonamid', 'nitrogen', 'role', 'antimicrobi', 'agent', 'antiinfect', 'agent', 'ec', 'dihydroptero', 'synthas', 'inhibitor', 'antibacteri', 'drug', 'substitut', 'anilin', 'n', 'sulfonylcarboxamid', 'function', 'relat', 'sulfanilamid', 'conjug', 'acid', 'sulfacetamid']"
2953,2946961,"4-[[2-(2,3-dihydro-1,4-benzodioxin-3-yl)-1-oxoethyl]amino]benzoic acid ethyl ester is an amidobenzoic acid.",No annotation,0.5151,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['dihydro', 'benzodioxin', 'yl', 'oxoethyl', 'amino', 'benzoic', 'acid', 'ethyl', 'ester', 'amidobenzo', 'acid']"
2954,2724,"Chlorphenesin carbamate is the carbamate ester of the primary hydroxy group of chlorphenesin. A centrally acting skeletal muscle relaxant, it is used in the symptomatic treatment of painful muscle spasm. It has a role as a muscle relaxant. It is a carbamate ester, a member of monochlorobenzenes and a secondary alcohol. It is functionally related to a chlorphenesin and a carbamic acid.",Drug,0.833,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['chlorphenesin', 'carbam', 'carbam', 'ester', 'primari', 'hydroxi', 'group', 'chlorphenesin', 'central', 'act', 'skelet', 'muscl', 'relax', 'use', 'symptomat', 'treatment', 'pain', 'muscl', 'spasm', 'role', 'muscl', 'relax', 'carbam', 'ester', 'member', 'monochlorobenzen', 'secondari', 'alcohol', 'function', 'relat', 'chlorphenesin', 'carbam', 'acid']"
2955,5315,"N-succinylsulfathiazole is a member of 1,3-thiazoles. It is functionally related to a sulfathiazole.",No annotation,0.4783,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'succinylsulfathiazol', 'member', 'thiazol', 'function', 'relat', 'sulfathiazol']"
2956,2905,"Cyclopentolate is a carboxylic ester resulting from the formal condensation of (1-hydroxycyclopentyl)(phenyl)acetic acid with N,N-dimethylethanolamine. A tertiary amine antimuscarinic with actions similar to atropine, it is used as its hydrochloride salt to produce mydriasis (excessive dilation of the pupil) and cycloplegia (paralysis of the ciliary muscle of the eye) for opthalmic diagnostic procedures. It acts more quickly than atropine and has a shorter duration of action. It has a role as a mydriatic agent, a parasympatholytic, a muscarinic antagonist and a diagnostic agent. It is a carboxylic ester, a tertiary amino compound and a tertiary alcohol. It is functionally related to a (1-hydroxycyclopentyl)phenylacetic acid and a N,N-dimethylethanolamine.",Drug,0.5705,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['cyclopentol', 'carboxyl', 'ester', 'result', 'formal', 'condens', 'hydroxycyclopentyl', 'phenyl', 'acet', 'acid', 'n', 'n', 'dimethylethanolamin', 'tertiari', 'amin', 'antimuscarin', 'action', 'similar', 'atropin', 'use', 'hydrochlorid', 'salt', 'produc', 'mydriasi', 'excess', 'dilat', 'pupil', 'cycloplegia', 'paralysi', 'ciliari', 'muscl', 'eye', 'opthalm', 'diagnost', 'procedur', 'act', 'quick', 'atropin', 'shorter', 'durat', 'action', 'role', 'mydriat', 'agent', 'parasympatholyt', 'muscarin', 'antagonist', 'diagnost', 'agent', 'carboxyl', 'ester', 'tertiari', 'amino', 'compound', 'tertiari', 'alcohol', 'function', 'relat', 'hydroxycyclopentyl', 'phenylacet', 'acid', 'n', 'n', 'dimethylethanolamin']"
2957,5147,Salicylamide is the simplest member of the class of salicylamides derived from salicylic acid. It has a role as a non-narcotic analgesic and an antirheumatic drug. It is a member of salicylamides and a member of phenols.,Drug,0.5391,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['salicylamid', 'simplest', 'member', 'class', 'salicylamid', 'deriv', 'salicyl', 'acid', 'role', 'non', 'narcot', 'analges', 'antirheumat', 'drug', 'member', 'salicylamid', 'member', 'phenol']"
2958,135445756,N2-methyl-guanosine is a purine nucleoside.,No annotation,0.8657,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'methyl', 'guanosin', 'purin', 'nucleosid']"
2959,62865,Cyamemazine is a member of phenothiazines.,Drug,0.7186,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['cyamemazin', 'member', 'phenothiazin']"
2960,10125107,"Naphthalene-1,2,4-trione is a cyclic ketone. It is a tautomer of a lawsone.",No annotation,0.5614,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['naphthalen', 'trion', 'cyclic', 'keton', 'tautom', 'lawson']"
2961,4078,"Mesoridazine is a phenothiazine substituted at position 2 (para to the S atom) by a methylsulfinyl group, and on the nitrogen by a 2-(1-methylpiperidin-2-yl)ethyl group. It has a role as a dopaminergic antagonist and a first generation antipsychotic. It is a member of phenothiazines, a sulfoxide and a tertiary amino compound.",Drug,0.9486,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['mesoridazin', 'phenothiazin', 'substitut', 'posit', 'para', 'atom', 'methylsulfinyl', 'group', 'nitrogen', 'methylpiperidin', 'yl', 'ethyl', 'group', 'role', 'dopaminerg', 'antagonist', 'first', 'generat', 'antipsychot', 'member', 'phenothiazin', 'sulfoxid', 'tertiari', 'amino', 'compound']"
2962,517030,6-aminohexanoic acid zwitterion is zwitterionic form of 6-aminohexanoic acid arising from migration of a proton from the carboxy group to the amino group; major species at pH 7.3. It is a conjugate acid of a 6-aminohexanoate. It is a tautomer of a 6-aminohexanoic acid.,Metabolite,0.9717,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['aminohexano', 'acid', 'zwitterion', 'zwitterion', 'form', 'aminohexano', 'acid', 'aris', 'migrat', 'proton', 'carboxi', 'group', 'amino', 'group', 'major', 'speci', 'ph', 'conjug', 'acid', 'aminohexano', 'tautom', 'aminohexano', 'acid']"
2963,564,"6-aminohexanoic acid is an epsilon-amino acid comprising hexanoic acid carrying an amino substituent at position C-6. Used to control postoperative bleeding, and to treat overdose effects of the thrombolytic agents streptokinase and tissue plasminogen activator. It has a role as an antifibrinolytic drug, a hematologic agent and a metabolite. It is an epsilon-amino acid and an omega-amino fatty acid. It is functionally related to a hexanoic acid. It is a conjugate acid of a 6-aminohexanoate. It is a tautomer of a 6-aminohexanoic acid zwitterion.",Metabolite,0.6942,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['aminohexano', 'acid', 'epsilon', 'amino', 'acid', 'compris', 'hexano', 'acid', 'carri', 'amino', 'substitu', 'posit', 'c', 'use', 'control', 'postop', 'bleed', 'treat', 'overdos', 'effect', 'thrombolyt', 'agent', 'streptokinas', 'tissu', 'plasminogen', 'activ', 'role', 'antifibrinolyt', 'drug', 'hematolog', 'agent', 'metabolit', 'epsilon', 'amino', 'acid', 'omega', 'amino', 'fatti', 'acid', 'function', 'relat', 'hexano', 'acid', 'conjug', 'acid', 'aminohexano', 'tautom', 'aminohexano', 'acid', 'zwitterion']"
2964,72139,"Tioxolone is a 1,3-benzoxathiole having a hydroxy substituent at the 6-position. It has a role as an antiseborrheic.",Drug,0.5878,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['tioxolon', 'benzoxathiol', 'hydroxi', 'substitu', 'posit', 'role', 'antiseborrh']"
2965,2319,"Benfluralin is a tertiany amino compound that is 2,6-dinitro-4-(trifluoromethyl)aniline in which the hydrogens attached to the aniline nitrogen have been replaced by one ethyl and one butyl group. It is used as a pre-emergence herbicide used for the control of grass and other weeds in a range of food and non-food crops. It has a role as a herbicide and an agrochemical. It is a tertiary amino compound, a C-nitro compound, an organofluorine compound and a substituted aniline.",Drug,0.8623,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['benfluralin', 'tertiani', 'amino', 'compound', 'dinitro', 'trifluoromethyl', 'anilin', 'hydrogen', 'attach', 'anilin', 'nitrogen', 'replac', 'one', 'ethyl', 'one', 'butyl', 'group', 'use', 'pre', 'emerg', 'herbicid', 'use', 'control', 'grass', 'weed', 'rang', 'food', 'non', 'food', 'crop', 'role', 'herbicid', 'agrochem', 'tertiari', 'amino', 'compound', 'c', 'nitro', 'compound', 'organofluorin', 'compound', 'substitut', 'anilin']"
2966,1242166,N-[4-[(N-methylanilino)-oxomethyl]phenyl]-2-furancarboxamide is a member of benzamides.,No annotation,0.9255,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'n', 'methylanilino', 'oxomethyl', 'phenyl', 'furancarboxamid', 'member', 'benzamid']"
2967,6919,"2-furoic acid is a furoic acid having the carboxylic acid group located at position 2. It has a role as an inhibitor, a human xenobiotic metabolite, a Saccharomyces cerevisiae metabolite, a plant metabolite and a bacterial xenobiotic metabolite. It is a conjugate acid of a 2-furoate.",Metabolite,0.923,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['furoic', 'acid', 'furoic', 'acid', 'carboxyl', 'acid', 'group', 'locat', 'posit', 'role', 'inhibitor', 'human', 'xenobiot', 'metabolit', 'saccharomyc', 'cerevisia', 'metabolit', 'plant', 'metabolit', 'bacteri', 'xenobiot', 'metabolit', 'conjug', 'acid', 'furoat']"
2968,3235611,"N-[2-(1-cyclohexenyl)ethyl]-3-(1,3-dioxo-2-isoindolyl)propanamide is a member of phthalimides.",No annotation,0.9254,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'cyclohexenyl', 'ethyl', 'dioxo', 'isoindolyl', 'propanamid', 'member', 'phthalimid']"
2969,5105,Roxane is a member of piperidines.,No annotation,0.7651,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['roxan', 'member', 'piperidin']"
2970,1476741,5-[1-[(4-methylphenyl)methyl]-3-pyrazolyl]-2-phenylthiazole is a member of thiazoles.,No annotation,0.8875,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['methylphenyl', 'methyl', 'pyrazolyl', 'phenylthiazol', 'member', 'thiazol']"
2971,715538,"4-[1-[(3-methoxy-4-methylphenyl)methyl]-2-benzimidazolyl]-1,2,5-oxadiazol-3-amine is a member of benzimidazoles.",No annotation,0.9241,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['methoxi', 'methylphenyl', 'methyl', 'benzimidazolyl', 'oxadiazol', 'amin', 'member', 'benzimidazol']"
2972,824,2-aminopentanoic acid is an alpha-amino acid that is valeric acid which is substituted at position 2 by an amino group. It is functionally related to a valeric acid.,Metabolite,0.9566,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['aminopentano', 'acid', 'alpha', 'amino', 'acid', 'valer', 'acid', 'substitut', 'posit', 'amino', 'group', 'function', 'relat', 'valer', 'acid']"
2973,102807,Acetylarginine is a N-acyl-amino acid.,Metabolite,0.6148,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['acetylarginin', 'n', 'acyl', 'amino', 'acid']"
2974,2125696,"6-[1-oxo-2-[[4-(phenylmethyl)-5-thiophen-2-yl-1,2,4-triazol-3-yl]thio]ethyl]-4H-1,4-benzoxazin-3-one is a benzoxazine.",No annotation,0.9483,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['oxo', 'phenylmethyl', 'thiophen', 'yl', 'triazol', 'yl', 'thio', 'ethyl', 'h', 'benzoxazin', 'one', 'benzoxazin']"
2975,942,"3-(1-methylpyrrolidin-2-yl)pyridine is an N-alkylpyrrolidine that consists of N-methylpyrrolidine bearing a pyridin-3-yl substituent at position 2. It is a N-alkylpyrrolidine, a pyridine alkaloid and a pyrrolidine alkaloid.",No annotation,0.6593,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['methylpyrrolidin', 'yl', 'pyridin', 'n', 'alkylpyrrolidin', 'consist', 'n', 'methylpyrrolidin', 'bear', 'pyridin', 'yl', 'substitu', 'posit', 'n', 'alkylpyrrolidin', 'pyridin', 'alkaloid', 'pyrrolidin', 'alkaloid']"
2976,1646,"3-aminopropanesulfonic acid is an amino sulfonic acid that is the 3-amino derivative of propanesulfonic acid. It has a role as an algal metabolite, a nootropic agent, an anticonvulsant, a GABA agonist and an anti-inflammatory agent. It is a tautomer of a 3-aminopropanesulfonic acid zwitterion.",Metabolite,0.669,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['aminopropanesulfon', 'acid', 'amino', 'sulfon', 'acid', 'amino', 'deriv', 'propanesulfon', 'acid', 'role', 'algal', 'metabolit', 'nootrop', 'agent', 'anticonvuls', 'gaba', 'agonist', 'anti', 'inflammatori', 'agent', 'tautom', 'aminopropanesulfon', 'acid', 'zwitterion']"
2977,6991996,3-aminopropanesulfonic acid zwitterion is zwitterionic form of 3-aminopropanesulfonic acid arising from transfer of a proton from the sulfo to the amino group; major species at pH 7.3. It is a tautomer of a 3-aminopropanesulfonic acid.,Metabolite,0.9663,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['aminopropanesulfon', 'acid', 'zwitterion', 'zwitterion', 'form', 'aminopropanesulfon', 'acid', 'aris', 'transfer', 'proton', 'sulfo', 'amino', 'group', 'major', 'speci', 'ph', 'tautom', 'aminopropanesulfon', 'acid']"
2978,11347895,"2-amino-5-[(1-methoxy-2-methylindolizin-3-yl)carbonyl]benzoic acid is an aminobenzoic acid that is anthranilic acid substituted at position 5 by a (1-methoxy-2-methylindolizin-3-yl)carbonyl group. It has a role as an antineoplastic agent and a fibroblast growth factor receptor antagonist. It is a member of indolizines, an aminobenzoic acid, an aromatic ether and an aromatic ketone. It is functionally related to an anthranilic acid. It is a conjugate acid of a 2-amino-5-[(1-methoxy-2-methylindolizin-3-yl)carbonyl]benzoate.",Metabolite,0.4579,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['amino', 'methoxi', 'methylindolizin', 'yl', 'carbonyl', 'benzoic', 'acid', 'aminobenzo', 'acid', 'anthranil', 'acid', 'substitut', 'posit', 'methoxi', 'methylindolizin', 'yl', 'carbonyl', 'group', 'role', 'antineoplast', 'agent', 'fibroblast', 'growth', 'factor', 'receptor', 'antagonist', 'member', 'indolizin', 'aminobenzo', 'acid', 'aromat', 'ether', 'aromat', 'keton', 'function', 'relat', 'anthranil', 'acid', 'conjug', 'acid', 'amino', 'methoxi', 'methylindolizin', 'yl', 'carbonyl', 'benzoat']"
2979,444,"Bupropion is an aromatic ketone that is propiophenone carrying a tert-butylamino group at position 2 and a chloro substituent at position 3 on the phenyl ring. It has a role as an antidepressant, an environmental contaminant and a xenobiotic. It is a secondary amino compound, a member of monochlorobenzenes and an aromatic ketone.",Drug,0.6126,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['bupropion', 'aromat', 'keton', 'propiophenon', 'carri', 'tert', 'butylamino', 'group', 'posit', 'chloro', 'substitu', 'posit', 'phenyl', 'ring', 'role', 'antidepress', 'environment', 'contamin', 'xenobiot', 'secondari', 'amino', 'compound', 'member', 'monochlorobenzen', 'aromat', 'keton']"
2980,4910,"2,2-diphenylpentanoic acid 2-(diethylamino)ethyl ester is a diarylmethane.",No annotation,0.6517,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['diphenylpentano', 'acid', 'diethylamino', 'ethyl', 'ester', 'diarylmethan']"
2981,8574,Phthalylsulfacetamide is a member of benzamides.,No annotation,0.7742,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['phthalylsulfacetamid', 'member', 'benzamid']"
2982,4782,3-[1-Hydroxy-2-(methylamino)ethyl]phenol is a member of phenols.,No annotation,0.885,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['hydroxi', 'methylamino', 'ethyl', 'phenol', 'member', 'phenol']"
2983,5835713,Kaempferol-3-O-rhamnoside is a glycoside and a member of flavonoids.,No annotation,0.7477,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['kaempferol', 'rhamnosid', 'glycosid', 'member', 'flavonoid']"
2984,4837090,N-[4-chloro-3-(4-morpholinylsulfonyl)phenyl]-4-(2-oxolanylmethoxy)benzamide is a member of benzamides.,No annotation,0.916,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['n', 'chloro', 'morpholinylsulfonyl', 'phenyl', 'oxolanylmethoxi', 'benzamid', 'member', 'benzamid']"
2985,2136,"Amfenac is an oxo monocarboxylic acid that is benzophenone in which one of the phenyl groups is substituted by an amino group and a carboxymethyl group at position 2 and 3, respectively. The corresponding carboxamide, nepafenac, is a prodrug of amfenac and is used for the treatment of pain and inflammation following cataract surgery. It has a role as a non-steroidal anti-inflammatory drug, an antipyretic, a cyclooxygenase 2 inhibitor, a cyclooxygenase 1 inhibitor and a non-narcotic analgesic. It is an amino acid, an oxo monocarboxylic acid, a member of benzophenones, a substituted aniline and a primary amino compound. It is a conjugate acid of an amfenac(1-).",Drug,0.7441,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['amfenac', 'oxo', 'monocarboxyl', 'acid', 'benzophenon', 'one', 'phenyl', 'group', 'substitut', 'amino', 'group', 'carboxymethyl', 'group', 'posit', 'respect', 'correspond', 'carboxamid', 'nepafenac', 'prodrug', 'amfenac', 'use', 'treatment', 'pain', 'inflamm', 'follow', 'cataract', 'surgeri', 'role', 'non', 'steroid', 'anti', 'inflammatori', 'drug', 'antipyret', 'cyclooxygenas', 'inhibitor', 'cyclooxygenas', 'inhibitor', 'non', 'narcot', 'analges', 'amino', 'acid', 'oxo', 'monocarboxyl', 'acid', 'member', 'benzophenon', 'substitut', 'anilin', 'primari', 'amino', 'compound', 'conjug', 'acid', 'amfenac']"
2986,2725,"Chlorphenamine is a tertiary amino compound that is propylamine which is substituted at position 3 by a pyridin-2-yl group and a p-chlorophenyl group and in which the hydrogens attached to the nitrogen are replaced by methyl groups. A histamine H1 antagonist, it is used to relieve the symptoms of hay fever, rhinitis, urticaria, and asthma. It has a role as a H1-receptor antagonist, an antipruritic drug, a histamine antagonist, a serotonin uptake inhibitor, an antidepressant and an anti-allergic agent. It is a tertiary amino compound, a member of monochlorobenzenes and a member of pyridines.",Drug,0.9311,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['chlorphenamin', 'tertiari', 'amino', 'compound', 'propylamin', 'substitut', 'posit', 'pyridin', 'yl', 'group', 'p', 'chlorophenyl', 'group', 'hydrogen', 'attach', 'nitrogen', 'replac', 'methyl', 'group', 'histamin', 'h', 'antagonist', 'use', 'reliev', 'symptom', 'hay', 'fever', 'rhiniti', 'urticaria', 'asthma', 'role', 'h', 'receptor', 'antagonist', 'antiprurit', 'drug', 'histamin', 'antagonist', 'serotonin', 'uptak', 'inhibitor', 'antidepress', 'anti', 'allerg', 'agent', 'tertiari', 'amino', 'compound', 'member', 'monochlorobenzen', 'member', 'pyridin']"
2987,45281794,"1-[(4-phenylphenyl)methyl]-5-(trifluoromethoxy)indole-2,3-dione is a member of biphenyls.",No annotation,0.9153,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['phenylphenyl', 'methyl', 'trifluoromethoxi', 'indol', 'dion', 'member', 'biphenyl']"
2988,71188,"Enrofloxacin is a quinolinemonocarboxylic acid that is 1,4-dihydroquinoline-3-carboxylic acid substituted by an oxo group at position 4, a fluoro group at position 6, a cyclopropyl group at position 1 and a 4-ethylpiperazin-1-yl group at position 7. It is a veterinary antibacterial agent used for the treatment of pets. It has a role as an antibacterial agent, an antineoplastic agent and an antimicrobial agent. It is a quinolinemonocarboxylic acid, a quinolone, an organofluorine compound, a N-alkylpiperazine, a N-arylpiperazine and a member of cyclopropanes.",Drug,0.7472,"agent, group, role, member, inhibitor, posit, compound, drug, substitut, use","['enrofloxacin', 'quinolinemonocarboxyl', 'acid', 'dihydroquinolin', 'carboxyl', 'acid', 'substitut', 'oxo', 'group', 'posit', 'fluoro', 'group', 'posit', 'cyclopropyl', 'group', 'posit', 'ethylpiperazin', 'yl', 'group', 'posit', 'veterinari', 'antibacteri', 'agent', 'use', 'treatment', 'pet', 'role', 'antibacteri', 'agent', 'antineoplast', 'agent', 'antimicrobi', 'agent', 'quinolinemonocarboxyl', 'acid', 'quinolon', 'organofluorin', 'compound', 'n', 'alkylpiperazin', 'n', 'arylpiperazin', 'member', 'cyclopropan']"
2989,3354,"Flavoxate is a carboxylic ester resulting from the formal condensation of 3-methylflavone-8-carboxylic acid with 2-(1-piperidinyl)ethanol. It has a role as a parasympatholytic, a muscarinic antagonist and an antispasmodic drug. It is a member of piperidines, a member of flavones, a carboxylic ester and a tertiary amino compound. It is functionally related to a 3-methylflavone-8-carboxylic acid and a 2-(piperidin-1-yl)ethanol. It is a conjugate base of a flavoxate(1+).",Metabolite,0.5516,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['flavox', 'carboxyl', 'ester', 'result', 'formal', 'condens', 'methylflavon', 'carboxyl', 'acid', 'piperidinyl', 'ethanol', 'role', 'parasympatholyt', 'muscarin', 'antagonist', 'antispasmod', 'drug', 'member', 'piperidin', 'member', 'flavon', 'carboxyl', 'ester', 'tertiari', 'amino', 'compound', 'function', 'relat', 'methylflavon', 'carboxyl', 'acid', 'piperidin', 'yl', 'ethanol', 'conjug', 'base', 'flavox']"
2990,6636,Fenson is an arenesulfonic acid.,Metabolite,0.7768,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['fenson', 'arenesulfon', 'acid']"
2991,9911830,"1-[2-chloro-4-[(6,7-dimethoxy-4-quinolinyl)oxy]phenyl]-3-(5-methyl-3-isoxazolyl)urea is an aromatic ether.",No annotation,0.9386,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['chloro', 'dimethoxi', 'quinolinyl', 'oxi', 'phenyl', 'methyl', 'isoxazolyl', 'urea', 'aromat', 'ether']"
2992,665932,"7-(3,5-dimethyl-1-pyrazolyl)-5-methyl-3-phenylpyrazolo[1,5-a]pyrimidine is a member of pyrazoles and a ring assembly.",No annotation,0.9247,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['dimethyl', 'pyrazolyl', 'methyl', 'phenylpyrazolo', 'pyrimidin', 'member', 'pyrazol', 'ring', 'assembl']"
2993,20507134,"2-methyl-N-(5-methyl-3-isoxazolyl)-1,1,4-trioxo-3H-1$l^{6},2-benzothiazine-3-carboxamide is a benzothiazine.",No annotation,0.8441,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['methyl', 'n', 'methyl', 'isoxazolyl', 'trioxo', 'h', 'l', 'benzothiazin', 'carboxamid', 'benzothiazin']"
2994,135417158,WLH is a N-arylpiperazine.,No annotation,0.7654,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['wlh', 'n', 'arylpiperazin']"
2995,5281666,"Kaempferide is a monomethoxyflavone that is the 4'-O-methyl derivative of kaempferol. It has a role as an antihypertensive agent and a metabolite. It is a trihydroxyflavone, a monomethoxyflavone and a 7-hydroxyflavonol. It is functionally related to a kaempferol. It is a conjugate acid of a kaempferide(1-).",Metabolite,0.8231,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['kaempferid', 'monomethoxyflavon', 'methyl', 'deriv', 'kaempferol', 'role', 'antihypertens', 'agent', 'metabolit', 'trihydroxyflavon', 'monomethoxyflavon', 'hydroxyflavonol', 'function', 'relat', 'kaempferol', 'conjug', 'acid', 'kaempferid']"
2996,6433090,Imidafenacin is a diarylmethane.,No annotation,0.6666,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['imidafenacin', 'diarylmethan']"
2997,4402,"2-[6-(cyclopentylamino)-9-purinyl]-5-(hydroxymethyl)oxolane-3,4-diol is a purine nucleoside.",No annotation,0.9156,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['cyclopentylamino', 'purinyl', 'hydroxymethyl', 'oxolan', 'diol', 'purin', 'nucleosid']"
2998,46213929,Gandotinib is a member of pyridazines.,No annotation,0.7689,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['gandotinib', 'member', 'pyridazin']"
2999,1129477,3-(2-chloro-6-fluorophenyl)-N-(3-fluoro-4-methylphenyl)-5-methyl-4-isoxazolecarboxamide is an aromatic amide.,No annotation,0.9327,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['chloro', 'fluorophenyl', 'n', 'fluoro', 'methylphenyl', 'methyl', 'isoxazolecarboxamid', 'aromat', 'amid']"
3000,3236,1-(4-ethylphenyl)-2-methyl-3-(piperidin-1-yl)propan-1-one is an aromatic ketone that is N-propylpiperidine in which a hydrogen at positon 2 of the propyl group is replaced by a p-ethylbenzoyl group. It is a member of piperidines and an aromatic ketone.,No annotation,0.6648,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['ethylphenyl', 'methyl', 'piperidin', 'yl', 'propan', 'one', 'aromat', 'keton', 'n', 'propylpiperidin', 'hydrogen', 'positon', 'propyl', 'group', 'replac', 'p', 'ethylbenzoyl', 'group', 'member', 'piperidin', 'aromat', 'keton']"
3001,8682,"Oxythiamine(1+) is a 1,3-thiazolium cation that is 5-(2-hydroxyethyl)-4-methyl-1,3-thiazole alkylated at the N3 position by a (2-methyl-4-oxo-1,4-dihydropyrimidin-5-yl)methyl group. It has a role as an antimetabolite and a vitamin B1 antagonist.",No annotation,0.4623,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['oxythiamin', 'thiazolium', 'cation', 'hydroxyethyl', 'methyl', 'thiazol', 'alkyl', 'n', 'posit', 'methyl', 'oxo', 'dihydropyrimidin', 'yl', 'methyl', 'group', 'role', 'antimetabolit', 'vitamin', 'b', 'antagonist']"
3002,1088438,1-(4-methylphenyl)sulfonyl-2-benzimidazolamine is a sulfonamide.,No annotation,0.864,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['methylphenyl', 'sulfonyl', 'benzimidazolamin', 'sulfonamid']"
3003,3370799,"1-(4-fluorophenyl)-N-methyl-3,4-dihydro-1H-pyrrolo[1,2-a]pyrazine-2-carbothioamide is an organofluorine compound.",No annotation,0.7204,"member, n, yl, methyl, h, phenyl, compound, amino, aromat, ethyl","['fluorophenyl', 'n', 'methyl', 'dihydro', 'h', 'pyrrolo', 'pyrazin', 'carbothioamid', 'organofluorin', 'compound']"
3004,68888,Pivagabine is an organooxygen compound and an organonitrogen compound. It is functionally related to a gamma-amino acid.,Metabolite,0.4899,"acid, metabolit, role, group, amino, function, relat, conjug, posit, ester","['pivagabin', 'organooxygen', 'compound', 'organonitrogen', 'compound', 'function', 'relat', 'gamma', 'amino', 'acid']"
